UA,UANAME,CBSA,MNAME,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,MPOP,MHU,MAREA,MAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
00450,"Adams, NY Urban Cluster",48060,"Watertown-Fort Drum, NY Micro Area",2,2542,1100,5121210,5107296,2542,1100,5121210,5107296,116229,57966,4810181094,3285632368,100,100,100,100,2.19,1.9,.11,.16
00469,"Adel, GA Urban Cluster",99999,"Not in a metro/micro area",,6986,2990,15838911,15634050,6986,2990,15838911,15634050,,,,,100,100,100,100,,,,
00496,"Adel, IA Urban Cluster",19780,"Des Moines-West Des Moines, IA Metro Area",1,3170,1317,4624127,4624127,3170,1317,4624127,4624127,569633,240203,7541567644,7468735630,100,100,100,100,.56,.55,.06,.06
00550,"Adjuntas, PR Urban Cluster",10260,"Adjuntas, PR Micro Area",2,10947,4563,19974164,19817979,11122,4637,20596907,20440722,19483,8125,173777444,172725651,98.43,98.4,96.98,96.95,56.19,56.16,11.49,11.47
00550,"Adjuntas, PR Urban Cluster",38660,"Ponce, PR Metro Area",1,175,74,622743,622743,11122,4637,20596907,20440722,243147,99359,874803803,545648108,1.57,1.6,3.02,3.05,.07,.07,.07,.11
00577,"Adrian, MI Urban Cluster",10300,"Adrian, MI Micro Area",2,44823,18178,62834329,62219496,44823,18178,62834329,62219496,99892,43452,1972038943,1941337767,100,100,100,100,44.87,41.83,3.19,3.2
00604,"Agat, GU Urban Cluster",99999,"Not in a metro/micro area",,10093,3133,12597712,12594773,10093,3133,12597712,12594773,,,,,100,100,100,100,,,,
00631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",10260,"Adjuntas, PR Micro Area",2,54,26,184849,184849,306196,138431,620618521,619716445,19483,8125,173777444,172725651,.02,.02,.03,.03,.28,.32,.11,.11
00631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",1,279465,127130,558261998,557617494,306196,138431,620618521,619716445,306292,138855,1283409618,928441564,91.27,91.84,89.95,89.98,91.24,91.56,43.5,60.06
00631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",41980,"San Juan-Caguas-Guaynabo, PR Metro Area",1,5965,2440,17256274,17238343,306196,138431,620618521,619716445,2478905,1073552,5223033344,4117856690,1.95,1.76,2.78,2.78,.24,.23,.33,.42
00631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",46580,"Utuado, PR Micro Area",2,17593,7588,35758690,35594245,306196,138431,620618521,619716445,33149,14192,298027589,294039825,5.75,5.48,5.76,5.74,53.07,53.47,12,12.11
00631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area",99999,"Not in a metro/micro area",,3119,1247,9156710,9081514,306196,138431,620618521,619716445,,,,,1.02,.9,1.48,1.47,,,,
00658,"Ahoskie, NC Urban Cluster",99999,"Not in a metro/micro area",,4951,2267,7551326,7551326,4951,2267,7551326,7551326,,,,,100,100,100,100,,,,
00676,"Air Force Academy, CO Urban Cluster",17820,"Colorado Springs, CO Metro Area",1,5512,326,6458442,6458442,5512,326,6458442,6458442,645613,265495,6963213019,6951156867,100,100,100,100,.85,.12,.09,.09
00712,"Ajo, AZ Urban Cluster",46060,"Tucson, AZ Metro Area",1,3076,2006,6906091,6906091,3076,2006,6906091,6906091,980263,440909,23799649464,23794311939,100,100,100,100,.31,.45,.03,.03
00739,"Akron, NY Urban Cluster",15380,"Buffalo-Niagara Falls, NY Metro Area",1,2982,1426,6779971,6779971,2982,1426,6779971,6779971,1135509,519094,6129267586,4053467047,100,100,100,100,.26,.27,.11,.17
00766,"Akron, OH Urbanized Area",10420,"Akron, OH Metro Area",1,514095,235019,761542352,744634347,569499,257659,860155403,842722918,703200,312581,2393457808,2331323747,90.27,91.21,88.54,88.36,73.11,75.19,31.82,31.94
00766,"Akron, OH Urbanized Area",15940,"Canton-Massillon, OH Metro Area",1,18506,6961,34972885,34715341,569499,257659,860155403,842722918,404422,178913,2536796769,2511976008,3.25,2.7,4.07,4.12,4.58,3.89,1.38,1.38
00766,"Akron, OH Urbanized Area",17460,"Cleveland-Elyria-Mentor, OH Metro Area",1,24254,10330,36562159,36440429,569499,257659,860155403,842722918,2077240,955756,10306662608,5173000356,4.26,4.01,4.25,4.32,1.17,1.08,.35,.7
00766,"Akron, OH Urbanized Area",49300,"Wooster, OH Micro Area",2,12644,5349,27078007,26932801,569499,257659,860155403,842722918,114520,45847,1442147997,1437258280,2.22,2.08,3.15,3.2,11.04,11.67,1.88,1.87
00793,"Alachua, FL Urban Cluster",23540,"Gainesville, FL Metro Area",1,4114,1816,9792930,9761708,4114,1816,9792930,9761708,264275,120073,3429266274,3171950085,100,100,100,100,1.56,1.51,.29,.31
